Shoulder Radio,Shoulder Radio Start,Shoulder Radio End,Shoulder Radio Delta,Flashlight,Flashlight Start,Flashlight End,Flashlight Delta,Whistle,Whistle Start,Whistle End,Whistle Delta,Take BP,Take BP Start,Take BP End,Take BP Delta,Location Sent,Vitals Sent,Distance Magnitude,Walking,App Usage Count,User,Anomaly
1,40807503,  40809264,1.761,1,40808252,  40813488,5.236,1,40812454,  40815556,3.102,0,0,0,0,1,0,1.27278287918,0,1,    100107,Normal
1,40832336,  40836594,4.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79883802837,0,0,    100107,Normal
1,38518071,  38522674,4.603,1,38524736,  38534443,9.707,0,0,0,0,0,0,0,0,0,0,1.77805880956,0,0,    100108,Normal
1,38545708,  38551322,5.614,1,38553407,  38564641,11.234,0,0,0,0,0,0,0,0,0,0,0.129737501977,0,0,    100108,Normal
0,0,0,0,1,38580539,  38586670,6.131,0,0,0,0,0,0,0,0,0,0,0.970856488218,0,0,    100108,Normal
1,38597439,  38602546,5.107,1,38609725,  38617394,7.669,0,0,0,0,0,0,0,0,0,0,1.43630355662,0,0,    100108,Normal
1,38628672,  38635352,6.68,1,38637387,  38644533,7.146,0,0,0,0,0,0,0,0,0,0,2.85946184463,0,0,    100108,Normal
1,38654284, 38660400,6.116,1,38660402,  38670642,10.24,0,0,0,0,0,0,0,0,1,0,1.06663474807,0,1,    100108,Normal
1,38675821,  38682410,6.589,1,38682954,  38691629,8.675,0,0,0,0,0,0,0,0,0,0,2.98299806383,0,0,    100108,Normal
1,38703959,  38710603,6.644,1,38713665,  38721325,7.66,0,0,0,0,0,0,0,0,0,0,1.86991714812,0,0,    100108,Normal
1,38726513,  38737723,11.21,1,38738374,  38746416,8.042,0,0,0,0,0,0,0,0,0,0,2.10033902079,0,0,    100108,Normal
1,38750532, 38758282,7.75,1,38758284,  38770487,12.203,0,0,0,0,0,0,0,0,1,0,1.92176969574,0,1,    100108,Normal
1,38787656,  38788415,0.759,1,38789441,  38795580,6.139,0,0,0,0,0,0,0,0,1,0,1.83029884629,0,1,    100108,Normal
1,38802254,  38807374,5.12,1,38810791,  38817614,6.823,0,0,0,0,0,0,0,0,1,0,2.20661372487,0,1,    100108,Normal
1,38825300,  38831413,6.113,1,38833491,  38842704,9.213,0,0,0,0,0,0,0,0,0,0,1.33442594383,0,0,    100108,Normal
1,38906788,  38912339,5.551,1,38913024,  38918486,5.462,0,0,0,0,0,0,0,0,1,0,1.13010910041,0,1,    100108,Normal
1,38927701,  38931271,3.57,1,38932250,  38937432,5.182,0,0,0,0,0,0,0,0,1,0,2.35880813839,0,1,    100108,Normal
1,40542413,  40543125,0.712,1,40543162,  40547762,4.6,1,38956376,  38961503,5.127,1,39022433,  39040344,17.911,1,0,1.84825760662,0,1,    100108,Normal
1,40553402, 40557025,3.623,1,40557027,  40562068,5.041,0,0,0,0,0,0,0,0,1,0,1.92638005327,0,1,    100108,Normal
1,40569999,  40571289,1.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.873524667728,0,1,    100108,Normal
1,40582435,  40583573,1.138,1,40583595,  40587721,4.126,0,0,0,0,0,0,0,0,1,0,1.85706085346,0,1,    100108,Normal
1,40591284, 40595163,3.879,1,40595165,  40599970,4.805,0,0,0,0,0,0,0,0,1,0,1.69110203871,0,1,    100108,Normal
1,40610512,  40611731,1.219,0,0,0,0,1,40616404,  40620975,4.571,0,0,0,0,1,0,1.66178226096,0,1,    100108,Normal
1,40627858,  40628651,0.793,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.52042654174,0,1,    100108,Normal
1,40637867, 40644366,6.499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.06369951684,0,1,    100108,Normal
1,40661087,  40663956,2.869,1,40662958,  40666518,3.56,0,0,0,0,0,0,0,0,1,0,2.08324402774,0,1,    100108,Normal
1,40672290,  40674744,2.454,1,40673698,  40678299,4.601,0,0,0,0,0,0,0,0,1,0,0.452280560463,0,1,    100108,Normal
1,40684453,  40686507,2.054,1,40685487,  40690089,4.602,0,0,0,0,0,0,0,0,1,0,0.0037687781813,0,1,    100108,Normal
1,40695614,  40697766,2.152,1,40696756,  40702375,5.619,0,0,0,0,0,0,0,0,1,0,0.830508268215,0,1,    100108,Normal
